State,GDPcont_t0,Region
Alabama,0.03919354838709677,Southeast
Alaska,0.12000000000000005,Far West
Arizona,0.2311290322580645,Southwest
Arkansas,0.047580645161290284,Southeast
California,0.7093548387096776,Far West
Colorado,0.2683870967741935,Rocky Mountain
Connecticut,0.3138709677419356,New England
Delaware,0.07096774193548387,Mideast
District of Columbia,0.13548387096774198,Mideast
Florida,0.19209677419354843,Southeast
Georgia,0.3709677419354838,Southeast
Hawaii,0.09806451612903226,Far West
Idaho,0.11935483870967746,Rocky Mountain
Illinois,0.14370967741935486,Great Lakes
Indiana,0.06564516129032258,Great Lakes
Iowa,0.09580645161290322,Plains
Kansas,-0.014838709677419291,Plains
Kentucky,0.11532258064516131,Southeast
Louisiana,0.07177419354838711,Southeast
Maine,0.03048387096774194,New England
Maryland,0.195,Mideast
Massachusetts,0.25951612903225807,New England
Michigan,0.09822580645161288,Great Lakes
Minnesota,0.13499999999999998,Plains
Mississippi,0.09016129032258068,Southeast
Missouri,0.1267741935483871,Plains
Montana,0.10483870967741937,Rocky Mountain
Nebraska,0.15612903225806454,Plains
Nevada,0.21080645161290326,Far West
New Hampshire,0.212741935483871,New England
New Jersey,0.18629032258064518,Mideast
New Mexico,0.12112903225806451,Southwest
New York,0.4658064516129034,Mideast
North Carolina,0.2011290322580645,Southeast
North Dakota,0.13854838709677417,Plains
Ohio,0.11048387096774195,Great Lakes
Oklahoma,0.09354838709677417,Southwest
Oregon,0.20096774193548386,Far West
Pennsylvania,0.4182258064516127,Mideast
Rhode Island,0.08806451612903224,New England
South Carolina,0.1635483870967742,Southeast
South Dakota,0.12370967741935482,Plains
Tennessee,0.1453225806451613,Southeast
Texas,0.21016129032258057,Southwest
Utah,0.31,Rocky Mountain
Vermont,0.09451612903225809,New England
Virginia,0.1554838709677419,Southeast
Washington,0.9474193548387093,Far West
West Virginia,0.07193548387096775,Southeast
Wisconsin,0.19758064516129037,Great Lakes
Wyoming,0.08387096774193549,Rocky Mountain
